POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
DE,75.6,285,5.11,23,33.5,122,4.34,7.31,1
WR,75.63,211,4.48,18,34.5,126,4.21,6.91,1
RB,66.38,179,4.42,11,31.5,118,4.27,7.22,1
CB,70.75,184,4.3,15,39.0,133,4.19,6.79,1
CB,68.6,176,4.41,21,37.0,122,3.95,6.84,1
RB,74.6,232,4.94,18,32.5,111,4.52,7.31,1
C,76.25,302,5.11,29,33.0,112,4.49,7.5,1
WR,73.4,194,4.44,21,37.0,118,4.36,7.31,0
DT,73.75,301,5.4,40,32.5,104,4.45,8.0,0
S,72.25,212,4.55,21,34.5,116,4.16,7.35,0
QB,77.3,230,4.88,20,31.9,112,4.35,7.31,1
QB,73.0,222,4.59,20,35.0,125,4.46,7.31,1
DT,72.13,299,4.96,26,29.0,112,4.64,7.21,0
CB,69.75,189,4.59,14,30.0,117,4.08,6.72,1
C,74.4,299,5.21,22,25.5,100,4.54,7.85,1
OT,75.5,279,5.55,10,24.5,92,4.66,7.31,0
QB,75.88,221,4.65,21,33.1,115,4.38,7.31,1
RB,71.63,213,4.37,21,34.5,130,4.18,7.28,1
OG,77.0,325,4.79,35,26.5,105,4.62,7.65,1
QB,74.6,234,4.89,18,30.5,109,4.29,7.31,0
WR,73.5,208,4.59,20,31.5,117,4.42,7.31,0
DE,73.5,266,4.74,29,38.5,117,4.42,7.31,1
DE,76.1,274,5.12,26,29.0,105,4.49,7.68,0
C,74.75,299,4.98,34,26.0,104,4.34,7.5,1
WR,72.13,209,4.59,21,34.5,114,4.55,7.34,0
LB,75.38,236,4.64,21,38.5,119,4.28,6.9,1
QB,73.88,235,4.72,21,33.0,116,4.28,6.97,0
LB,73.3,249,4.9,18,29.0,113,4.38,7.31,0
OT,79.0,334,5.17,28,30.5,112,4.83,8.23,1
S,71.1,209,4.6,21,35.0,118,4.22,7.18,0
RB,70.25,219,4.59,23,33.0,115,4.19,7.03,0
LB,75.13,247,4.6,24,35.0,123,4.16,7.07,0
TE,75.9,246,4.73,28,33.5,120,4.2,7.31,0
RB,73.0,238,4.81,30,34.0,119,4.32,7.28,0
QB,75.25,226,4.81,23,34.0,114,4.26,7.1,1
OT,76.75,305,5.35,30,26.0,108,4.82,8.03,0
TE,76.0,252,5.02,16,32.0,113,4.31,7.4,0
OG,76.75,333,5.22,39,30.5,103,4.94,7.66,1
QB,74.3,224,4.7,22,33.0,116,4.33,7.31,0
CB,72.75,202,4.5,10,38.0,131,4.22,6.82,1
QB,73.8,197,4.86,15,25.0,105,4.52,7.31,0
C,76.5,301,5.08,20,32.6,114,4.44,7.31,0
OT,76.9,306,5.32,24,22.5,101,4.71,7.31,1
TE,78.0,241,4.82,18,30.1,109,4.48,7.31,1
OT,80.25,311,4.94,29,31.5,117,4.4,6.96,0
CB,70.38,193,4.3,15,36.5,125,4.25,6.67,0
LB,74.25,265,4.62,21,32.0,117,4.64,7.55,1
OT,78.0,307,5.06,27,33.5,107,4.77,7.62,0
LB,74.0,247,4.98,17,32.0,113,4.39,7.27,0
C,75.38,293,5.27,23,21.0,98,4.58,7.4,0
WR,74.0,225,4.52,14,38.0,133,4.46,7.1,1
LB,73.0,228,4.51,16,35.5,121,4.28,6.84,0
WR,71.8,176,4.63,20,33.5,120,4.38,7.31,0
QB,76.75,228,4.94,21,30.4,115,4.51,7.4,1
QB,75.13,225,4.93,21,32.0,110,4.37,6.96,0
RB,72.8,232,4.45,22,35.5,123,4.39,7.31,0
DT,75.0,299,5.0,26,32.0,111,4.46,8.09,0
OT,78.0,358,4.86,18,31.6,113,4.38,7.31,1
OT,77.88,306,4.78,27,32.0,112,4.4,7.09,1
DE,76.38,253,5.08,21,26.5,104,4.58,7.12,0
OG,77.1,314,5.3,28,28.0,106,4.53,7.31,0
K,74.88,232,5.04,15,30.5,117,4.52,7.31,0
OG,76.0,299,5.38,22,29.5,102,4.73,7.9,0
RB,72.38,211,4.48,21,30.0,117,4.51,7.31,0
RB,72.63,231,4.4,24,33.0,112,4.2,6.69,0
OG,76.38,310,5.28,27,33.6,113,4.43,7.31,1
WR,69.6,187,4.55,19,31.5,115,4.44,7.31,1
K,76.5,220,4.83,13,28.0,105,4.31,7.31,1
DE,76.0,307,5.03,15,31.0,112,4.44,7.21,0
RB,73.1,222,4.41,20,37.5,112,4.37,7.31,1
OT,77.0,307,5.08,29,29.0,109,4.68,7.47,1
QB,74.3,193,4.58,7,32.5,110,4.11,7.31,1
RB,69.9,206,4.69,18,35.5,117,4.41,7.31,0
TE,75.6,236,4.86,18,29.0,103,4.2,7.31,1
DT,73.1,274,5.3,18,28.0,105,4.63,7.31,0
RB,71.63,248,4.67,31,33.0,115,4.42,7.31,0
RB,66.6,180,4.53,15,32.5,112,4.37,7.31,0
OT,78.63,320,5.28,19,29.0,96,4.5,7.72,1
RB,70.5,222,4.95,21,32.0,109,4.2,7.31,0
DT,74.0,281,5.22,22,30.7,97,4.44,7.31,1
TE,77.4,248,4.88,15,31.0,119,4.47,7.76,1
LB,73.13,228,4.5,24,33.0,113,4.45,7.31,0
RB,71.6,224,4.79,16,33.5,113,4.16,7.31,1
CB,72.4,195,4.72,17,35.5,117,4.44,7.31,0
WR,73.88,209,4.71,21,36.5,126,4.38,7.31,0
K,73.38,225,4.8,14,32.9,114,4.42,7.31,1
OG,75.63,310,4.79,21,30.4,115,4.43,7.31,0
TE,77.25,261,4.66,20,35.0,113,4.53,7.07,1
WR,65.88,165,4.37,15,36.5,117,4.03,7.03,1
RB,67.0,195,4.53,17,43.0,126,4.16,7.31,0
K,72.88,220,4.78,22,33.0,113,4.45,7.31,1
CB,69.4,194,4.32,22,35.0,129,3.96,6.89,0
CB,72.0,173,4.42,7,32.5,117,4.34,7.31,1
DE,78.5,320,4.96,30,31.5,104,4.54,7.31,0
